Time: [2025-12-29T17:42:33.382Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:55:05.346Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:56:06.645Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:56:06.826Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:56:08.499Z], Method: GET, URL: /weather/full?address=London, IP: ::1
Time: [2025-12-30T14:56:09.845Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:56:09.851Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:56:10.492Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:56:10.498Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:05.006Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:57:05.318Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:07.231Z], Method: GET, URL: /, IP: ::1
Time: [2025-12-30T14:57:07.302Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:08.570Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:08.581Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:09.155Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:09.164Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:10.827Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:10.835Z], Method: GET, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:11.549Z], Method: PUT, URL: /api/weather, IP: ::1
Time: [2025-12-30T14:57:11.558Z], Method: GET, URL: /api/weather, IP: ::1
